,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lafiagi,NG,8.8667,5.4167,99.75,37,28,4.41,scattered clouds
1,Katsuura,JP,35.1333,140.3,69.12,78,100,9.89,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,33.17,95,5,2.93,clear sky
3,Belmonte,BR,-15.8631,-38.8828,84.7,64,70,11.88,broken clouds
4,Cidreira,BR,-30.1811,-50.2056,55.06,73,90,23.73,overcast clouds
5,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,84,14.47,light rain
6,Ushuaia,AR,-54.8,-68.3,40.62,87,75,25.32,broken clouds
7,Atuona,PF,-9.8,-139.0333,80.01,76,32,18.81,scattered clouds
8,Ancud,CL,-41.8697,-73.8203,51.42,84,100,17.87,light rain
9,Hithadhoo,MV,-0.6,73.0833,84.74,71,100,15.19,overcast clouds
10,Vardo,NO,70.3705,31.1107,41.2,61,3,7.9,clear sky
11,Manta,EC,-0.95,-80.7333,74.98,83,90,8.05,overcast clouds
12,Padang,ID,-0.9492,100.3543,78.85,86,86,3,overcast clouds
13,Clyde River,CA,70.4692,-68.5914,19.63,93,90,31.07,overcast clouds
14,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,3,broken clouds
15,Nabire,ID,-3.3667,135.4833,76.42,90,97,3.4,overcast clouds
16,Zhaotong,CN,27.3167,103.7167,55.24,86,100,4.99,overcast clouds
17,Mahebourg,MU,-20.4081,57.7,72.25,88,75,12.66,broken clouds
18,Vaini,TO,-21.2,-175.2,71.76,88,75,6.91,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,70.12,78,20,8.9,few clouds
20,Susehri,TR,40.1644,38.0867,69.01,56,14,9.89,few clouds
21,Barrow,US,71.2906,-156.7887,28.42,80,90,17.27,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,74.93,83,71,11.25,light rain
23,San Bartolome De Tirajana,ES,27.9248,-15.5733,64.87,58,40,16.64,scattered clouds
24,Severo-Kurilsk,RU,50.6789,156.125,39.31,84,100,15.97,overcast clouds
25,Kondinskoye,RU,59.6481,67.41,69.4,56,97,8.57,overcast clouds
26,Cerrito,CO,6.8432,-72.694,56.59,71,62,2.33,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,68.9,67,100,14.63,overcast clouds
28,Albany,US,42.6001,-73.9662,65.62,47,76,4.92,broken clouds
29,Petatlan,MX,17.5167,-101.2667,76.8,42,3,1.03,clear sky
30,Ihosy,MG,-22.4,46.1167,68.56,50,76,6.38,broken clouds
31,Pevek,RU,69.7008,170.3133,21,89,100,5.28,overcast clouds
32,Bilma,NE,18.6853,12.9164,106.23,5,0,5.19,clear sky
33,Saint-Georges,GD,12.0564,-61.7485,83.88,74,75,24.16,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,39.31,76,75,14.99,broken clouds
