City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Belmonte,BR,84.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
7,Atuona,PF,80.01,scattered clouds,-9.8,-139.0333,Villa Enata
9,Hithadhoo,MV,84.74,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
15,Nabire,ID,76.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
29,Petatlan,MX,76.8,clear sky,17.5167,-101.2667,Hotel California Petatlán
33,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
38,Mahibadhoo,MV,83.75,few clouds,3.7833,72.9667,Omadhoo Inn
40,Faya,SA,78.91,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
41,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Abu Kamal,SY,85.14,broken clouds,34.4506,40.9171,محطة التلفاز
49,Aksu,CN,75.76,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
50,Srandakan,ID,77.68,scattered clouds,-7.9386,110.2506,Puri Brata
51,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
62,Lorengau,PG,81.23,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Inirida,CO,82.92,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
66,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
68,Butaritari,KI,78.57,moderate rain,3.0707,172.7902,Isles Sunset Lodge
72,Hirara,JP,81.36,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
80,Port Alfred,ZA,81.52,broken clouds,-33.5906,26.891,The Halyards Hotel
82,Pemangkat,ID,81.7,scattered clouds,1.1667,108.9667,Ramah Kost KITA
84,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
88,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
89,Katobu,ID,75.0,scattered clouds,-4.9408,122.5276,La Ode Husein
97,Isiolo,KE,77.76,overcast clouds,0.3546,37.5822,Gaddisa Hotel
99,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
101,Santa Maria Do Suacui,BR,85.69,clear sky,-18.1903,-42.4142,Hotel do Vavá
105,Moratuwa,LK,81.41,heavy intensity rain,6.773,79.8816,Sa Mansion By Yoho
107,Porlamar,VE,81.5,overcast clouds,10.958,-63.8491,Hotel Bella Vista
114,Kaoma,ZM,78.57,clear sky,-14.7833,24.8,KAOMA AIRPORT
119,Caravelas,BR,86.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
120,Watsa,CD,79.56,scattered clouds,3.0372,29.5355,Hôtel Le Pacifique
122,Astana,KZ,84.15,clear sky,51.1801,71.446,King Hotel Astana
129,West Bay,KY,84.27,broken clouds,19.3667,-81.4167,Calypso Cove
131,Tual,ID,82.45,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
132,Haifa,IL,84.61,few clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
142,Faanui,PF,81.19,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Saint Marys,US,81.12,clear sky,30.7305,-81.5465,Spencer House Inn
149,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
150,Camocim,BR,86.22,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
159,Kaberamaido,UG,79.02,light rain,1.7389,33.1594,"Little Orchard, Kaberamaido"
161,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
169,Anahuac,MX,76.5,overcast clouds,27.2333,-100.15,Rancho Guadalupe
171,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
172,San Patricio,US,81.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Garowe,SO,88.2,overcast clouds,8.4054,48.4845,Curubo Hotel
174,Hobyo,SO,81.3,light rain,5.3505,48.5268,Halane Hotel and Restaurent
176,Fernan-Nunez,ES,82.29,clear sky,37.6884,-4.7247,Villa Flamenca
179,Palauig,PH,81.99,few clouds,15.435,119.9045,Myhousebythesea
180,Payo,ID,75.24,scattered clouds,-3.7508,103.6372,Mess keban agung
182,Pedernales,DO,84.22,broken clouds,18.0384,-71.744,Hotel Costa Marina
184,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
