,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Srednekolymsk,RU,67.45,153.6833,56.52,44,99,21.59,overcast clouds
1,Hearst,CA,49.6835,-83.6665,73.65,62,82,12.97,broken clouds
2,Necochea,AR,-38.5473,-58.7368,46.65,59,9,10.83,clear sky
3,Hirara,JP,24.8,125.2833,84.47,79,20,10.36,few clouds
4,Albany,US,42.6001,-73.9662,77.65,61,99,5.39,overcast clouds
5,Lebu,CL,-37.6167,-73.65,55.51,87,93,1.32,overcast clouds
6,Fort Nelson,CA,58.8053,-122.7002,49.59,27,90,8.05,overcast clouds
7,Vaini,TO,-21.2,-175.2,71.76,88,90,9.22,light rain
8,Khatanga,RU,71.9667,102.5,31.48,98,100,5.35,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,60.84,21,20,11.5,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,75,5.82,broken clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,69.64,60,70,6.51,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,0,9.22,clear sky
13,Bacolod,PH,10.6667,122.95,83.39,77,76,0.81,light rain
14,Kondoa,TZ,-4.9,35.7833,54.27,95,77,4.07,broken clouds
15,Ambon,ID,-3.6954,128.1814,77.14,94,40,13.4,scattered clouds
16,Talnakh,RU,69.4865,88.3972,23.27,94,54,12.26,broken clouds
17,Fougamou,GA,-1.2154,10.5838,75.36,97,100,2.04,overcast clouds
18,Labuhan,ID,-6.8844,112.2051,79.77,81,20,8.1,few clouds
19,Hamilton,US,39.1834,-84.5333,85.84,44,1,4.16,clear sky
20,Ilulissat,GL,69.2167,-51.1,33.82,64,30,4.61,scattered clouds
21,Hobart,AU,-42.8794,147.3294,53.26,77,75,4.0,moderate rain
22,San Jose,US,37.3394,-121.895,78.67,47,20,4.0,few clouds
23,Tiksi,RU,71.6872,128.8694,35.15,89,23,1.86,few clouds
24,Cape Town,ZA,-33.9258,18.4232,58.12,82,0,1.01,clear sky
25,Rikitea,PF,-23.1203,-134.9692,77.27,78,68,15.05,broken clouds
26,Hilo,US,19.7297,-155.09,82.13,71,1,14.97,clear sky
27,Lata,PT,40.1629,-8.3327,60.71,81,100,0.87,overcast clouds
28,Amapa,BR,1.0,-52.0,73.18,98,100,2.44,overcast clouds
29,Hambantota,LK,6.1241,81.1185,80.85,76,96,22.48,overcast clouds
30,Muros,ES,42.7762,-9.0603,54.84,74,99,12.64,overcast clouds
31,Seoul,KR,37.5683,126.9778,60.37,72,0,5.39,clear sky
32,Takab,IR,36.4009,47.1133,49.12,84,12,1.16,few clouds
33,Kapaa,US,22.0752,-159.319,83.12,68,1,1.99,clear sky
34,Alofi,NU,-19.0595,-169.9187,75.09,80,90,16.11,light rain
35,Pathein,MM,16.7833,94.7333,78.75,90,100,2.55,light rain
36,Kodiak,US,57.79,-152.4072,55.38,56,0,4.94,clear sky
37,Tank,PK,32.2217,70.3793,87.24,26,0,2.13,clear sky
38,Kavaratti,IN,10.5669,72.642,83.14,76,100,16.44,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,29.86,86,75,23.02,light snow
40,Bluff,NZ,-46.6,168.3333,49.8,52,75,5.23,broken clouds
41,Barrow,US,71.2906,-156.7887,26.62,80,90,5.75,overcast clouds
42,Atuona,PF,-9.8,-139.0333,80.1,62,21,13.78,few clouds
43,Salalah,OM,17.0151,54.0924,82.49,78,20,3.44,few clouds
44,Male,MV,4.1748,73.5089,84.15,79,75,27.63,broken clouds
45,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,9.28,broken clouds
46,Port Alfred,ZA,-33.5906,26.891,63.16,89,69,10.16,broken clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,90,6.91,overcast clouds
48,Arcachon,FR,44.5875,-1.0519,50.32,87,0,0.0,clear sky
49,Kopavogur,IS,64.1123,-21.913,47.3,71,20,13.8,few clouds
50,Kimbe,PG,-5.5502,150.1429,79.66,86,100,5.06,light rain
51,Busselton,AU,-33.65,115.3333,43.05,75,100,9.93,overcast clouds
52,Castro,BR,-24.7911,-50.0119,49.26,59,37,1.25,scattered clouds
53,San Vicente,AR,-26.6167,-54.1333,48.74,68,39,2.59,scattered clouds
54,Saskylakh,RU,71.9167,114.0833,50.77,61,97,7.23,overcast clouds
55,Urumqi,CN,43.801,87.6005,68.95,24,0,3.87,clear sky
56,Flin Flon,CA,54.7682,-101.865,33.64,64,90,16.31,overcast clouds
57,Esperance,AU,-33.8667,121.9,51.64,80,32,9.33,scattered clouds
58,Nandikotkur,IN,15.8667,78.2667,82.89,65,100,18.23,overcast clouds
59,Yellowknife,CA,62.456,-114.3525,47.32,39,20,1.99,few clouds
60,Chake Chake,TZ,-5.2459,39.7666,76.93,73,89,12.57,overcast clouds
61,Saint-Pierre,RE,-21.3393,55.4781,73.04,75,75,5.75,broken clouds
62,Guerrero Negro,MX,27.9769,-114.0611,69.12,58,64,14.36,broken clouds
63,Punta Arenas,CL,-53.15,-70.9167,35.71,87,20,12.35,few clouds
64,Piacabucu,BR,-10.4056,-36.4344,76.44,83,22,7.65,few clouds
65,Hobyo,SO,5.3505,48.5268,77.92,82,44,22.48,scattered clouds
66,Mount Gambier,AU,-37.8333,140.7667,51.71,71,90,9.22,overcast clouds
67,Villazon,BO,-22.0866,-65.5942,50.02,15,74,5.28,broken clouds
68,Ugoofaaru,MV,5.6667,73.0,82.9,77,100,25.48,overcast clouds
69,Puerto Ayora,EC,-0.7393,-90.3518,75.54,90,32,4.0,scattered clouds
70,Chokurdakh,RU,70.6333,147.9167,37.24,75,67,9.1,broken clouds
71,Lorengau,PG,-2.0226,147.2712,78.84,89,100,7.18,moderate rain
72,Goderich,CA,43.7501,-81.7165,82.04,47,71,12.66,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,52.92,74,74,7.83,light rain
74,Port Moresby,PG,-9.4431,147.1797,81.82,61,40,11.5,scattered clouds
75,Codrington,AU,-38.2667,141.9667,53.91,60,96,20.56,overcast clouds
76,Fomboni,KM,-12.28,43.7425,78.58,68,19,13.96,few clouds
77,Malanville,BJ,11.8685,3.3899,89.69,34,34,8.99,scattered clouds
78,Hermanus,ZA,-34.4187,19.2345,57.9,73,44,7.11,scattered clouds
79,Damghan,IR,36.1683,54.348,74.84,33,99,10.85,overcast clouds
80,Husavik,IS,66.0449,-17.3389,44.51,77,15,11.97,few clouds
81,Hervey Bay,AU,-25.2986,152.8535,74.03,84,8,4.0,clear sky
82,Senanga,ZM,-16.1167,23.2667,54.81,61,0,5.06,clear sky
83,Nuevo Progreso,MX,23.1667,-97.95,91.6,68,8,4.0,clear sky
84,Cherskiy,RU,68.75,161.3,60.85,32,91,13.62,overcast clouds
85,Dingle,PH,10.9995,122.6711,82.13,79,100,3.49,moderate rain
86,Blagoyevo,RU,63.3667,47.9167,36.36,97,100,9.24,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,50.07,71,94,9.22,overcast clouds
88,Mandalgovi,MN,45.7625,106.2708,45.9,52,48,14.47,scattered clouds
89,Kamloops,CA,50.6665,-120.3192,74.39,43,75,1.99,broken clouds
90,Kruisfontein,ZA,-34.0033,24.7314,54.88,94,81,5.66,broken clouds
91,Hithadhoo,MV,-0.6,73.0833,84.25,66,100,20.13,overcast clouds
92,Namibe,AO,-15.1961,12.1522,74.5,66,0,2.13,clear sky
